Key,Description,Standard,Chinese,ChineseF,English,Japanese,Korean
SAY.事件.202.46亿年的梦,,我长出了四肢，于是我踏上了陆地。,我长出了四肢，于是我踏上了陆地。,我長出了四肢，於是我踏上了陸地。,I grew limbs{c} and thus I stepped onto the land.,四肢が生え、そして私は陸へと踏み出した。,"사지가 돋아났고, 나는 육지를 밟았다."
SAY.事件.37.46亿年的梦,,在陆地上，我继续捕食着那些比我更小的生物。,在陆地上，我继续捕食着那些比我更小的生物。,在陸地上，我繼續捕食著那些比我更小的生物,On land{c} I continued preying on creatures smaller than me,陸上で、私はさらに自分より小さな生物を捕食し続けた,육지에서도 나는 계속해서 나보다 작은 것들을 사냥했다.
SAY.事件.38.46亿年的梦,,我捕食了飞翔的巨大蜜蜂。,我捕食了飞翔的巨大蜜蜂。,我捕食了飛翔的巨大蜜蜂,I preyed on a huge flying bee,私は空を飛ぶ巨大な蜂を捕食した,하늘을 나는 거대한 벌을 나는 삼켰다.
SAY.事件.176.46亿年的梦,,我捕食了一只青蛙母亲。,我捕食了一只青蛙母亲。,我捕食了一隻青蛙母親,I preyed on a mother frog,私はカエルの母親を捕食した,나는 어미 개구리 한 마리를 잡아먹었다.
SAY.事件.39.46亿年的梦,,因为我知道我必须要活下去。,因为我知道我必须要活下去。,因為我知道我必須要活下去,Because I knew I had to survive,私は生きなければならないと分かっていたからだ,살아남아야 한다는 걸 알고 있었으니까.
SAY.事件.177.46亿年的梦,,我捕食着遇到的各种生物。,我捕食着遇到的各种生物。,我捕食著遇到的各種生物,I preyed on every kind of creature I encountered,出会ったあらゆる生き物を捕食した,마주치는 온갖 생물들을 잡아먹었다.
SAY.事件.40.46亿年的梦,,直到我捕食了陆地上的恐龙王。,直到我捕食了陆地上的恐龙王。,直到我捕食了陸地上的恐龍王,Until I preyed on the king of the land dinosaurs,ついに私は陸に君臨する恐竜の王をも捕食した,마침내 육지의 공룡왕을 잡아먹기에 이르렀다.
SAY.事件.45.46亿年的梦,,此刻，我的身体再一次发生了变化。,此刻，我的身体再一次发生了变化。,此刻，我的身體再一次發生了變化,At that moment{c} my body transformed once again,その瞬間、私の身体は再び変化した,"지금, 내 몸이 다시 한번 변화하고 있다."
MENU.事件.41,,有进化的征兆,有进化的征兆,有進化的徵兆,Signs of evolution,進化の兆しがある,진화의 징조
SAY.事件.47.46亿年的梦,,从我的背上长出了一对巨大的翅膀。,从我的背上长出了一对巨大的翅膀。,從我的背上長出了一對巨大的翅膀,A pair of massive wings grew from my back,私の背中から巨大な翼が生えた,내 등에서 거대한 날개 한 쌍이 돋아났다.
SAY.事件.48.46亿年的梦,,翅膀带着我飞越了火山与冰原。,翅膀带着我飞越了火山与冰原。,翅膀帶著我飛越了火山與冰原,My wings carried me over volcanoes and ice fields,翼に乗って、私は火山や氷原を飛び越えた,날개는 나를 태우고 화산과 빙원을 넘어 날아갔다.
SAY.事件.49.46亿年的梦,,此时，天空的王向我俯冲而来。,此时，天空的王向我俯冲而来。,此時，天空的王向我俯衝而來,At this moment{c} the king of the sky dove toward me,この時、天空の王が私に向かって急降下してきた,"그 순간, 하늘의 왕이 나를 향해 급강하해 왔다."
SAY.事件.50.46亿年的梦,,面对它的利爪，我战胜了它，并捕食了它。,面对它的利爪，我战胜了它，并捕食了它。,面對它的利爪，我戰勝了它，並捕食了它,Facing its claws{c} I defeated it and preyed on it,その鋭い爪に立ち向かい、私はそれを打ち負かして捕食した,"그 발톱 앞에서, 나는 그것을 이겨내고 — 집어삼켰다."
MENU.事件.53,,天空的王也被捕食了,天空的王也被捕食了,天空的王也被捕食了,The king of the sky was also preyed upon,天空の王も捕食された,하늘의 왕마저 삼켜졌다.
SAY.事件.61.46亿年的梦,,我已经站在大陆与天空的顶点。,我已经站在大陆与天空的顶点。,我已經站在大陸與天空的頂點,I am already standing at the apex of the land and sky,私はすでに大陸と空の頂点に立っている,"나는 이미 대륙과 하늘, 그 정점에 서 있다."
SAY.事件.62.46亿年的梦,,我仰望着天空，群星之中，我似乎看到了一抹深邃的蓝。,我仰望着天空，群星之中，我似乎看到了一抹深邃的蓝。,我仰望著天空，群星之中，我似乎看到了一抹深邃的藍,I gaze at the sky{c} among the stars{c} I seem to see a trace of deep blue,私は空を見上げ、群星の中で、一筋の深い青を見たような気がした,"나는 하늘을 올려다보았다. 무수한 별들 사이로, 깊고 짙은 푸름이 언뜻 스쳐 지나갔다."
SAY.事件.63.46亿年的梦,,那是在更遥远天空之上的事物，是我的翅膀遥不可及之处。,那是在更遥远天空之上的事物，是我的翅膀遥不可及之处。,那是在更遙遠天空之上的事物，是我的翅膀遙不可及之處,That is something in the farthest sky{c} beyond the reach of my wings,それはより遠い空の上の存在で、私の翼では届かないところにある,그것은 훨씬 더 먼 하늘 너머에 있는 것들이었다. 내 날개가 영영 닿을 수 없는 곳.
SAY.事件.64.46亿年的梦,,当我在沉思的时候，烈火从天而降，海啸卷过了山脊。,当我在沉思的时候，烈火从天而降，海啸卷过了山脊。,當我在沉思的時候，烈火從天而降，海嘯卷過了山脊,While I was in contemplation{c} fire rained from the sky and tsunamis swept over the ridges,私が思索していると、烈火が天から降り注ぎ、津波が尾根を巻き上げた,"내가 상념에 잠겨 있을 때, 불길이 하늘에서 쏟아져 내렸고, 해일은 산등성이를 휩쓸고 지나갔다."
SAY.事件.69.46亿年的梦,,恐龙们迎来了它们的末日和终焉,恐龙们迎来了它们的末日和终焉,恐龍們迎來了它們的末日和終焉,The dinosaurs faced their doomsday and end,恐竜たちはその末日と終焉を迎えた,"공룡들은 자신들의 끝을, 그 마지막을 맞이했다."
SAY.事件.70.46亿年的梦,,大地也被冰封，残留下来的我，躲在冰窟的地下,大地也被冰封，残留下来的我，躲在冰窟的地下,殘留下來的我，躲在冰窟的地下,The remaining me hides underground in the ice cave,残された私は、氷の洞窟の地下に身を潜めた,"대지마저 얼어붙어, 남겨진 나는 얼음 굴 아래 숨어 있었다"
MENU.事件.65,,但至少存活下来了,但至少存活下来了,但至少存活下來了,But at least you survived,それでも生き延びた,"그래도, 살아남았다"
SAY.事件.72.46亿年的梦,,随后，我褪去了鳞片，选择了皮毛包裹的温暖身躯。,随后，我褪去了鳞片，选择了皮毛包裹的温暖身躯。,隨後，我褪去了鱗片，選擇了皮毛包裹的溫暖身軀,Afterwards{c} I shed my scales and chose a warm body covered in fur,その後、私は鱗を脱ぎ、毛皮で覆われた温かい体を選んだ,"그 후, 나는 비늘을 벗어내고 — 털가죽이 감싸는 따뜻한 몸을 택했다"
SAY.事件.73.46亿年的梦,,在漫长的时代里，我依旧不断地捕食着其他的生物。,在漫长的时代里，我依旧不断地捕食着其他的生物。,在漫長的時代裡，我依舊不斷地捕食著其他的生物,Throughout the long ages{c} I continued to prey on other creatures,長い時代の中で、私は依然として他の生物を捕食し続けた,"긴 세월이 흘러도, 나는 여전히 다른 생명들을 잡아먹었다."
SAY.事件.336.46亿年的梦,,我尝试直立行走。,我尝试直立行走。,我試著直立行走。,I try to walk upright.,直立して、歩こうとする。,나는 똑바로 서서 걸으려 한다.
SAY.事件.74.46亿年的梦,,我学会了使用工具。,我学会了使用工具。,我學會了使用工具,I learned to use tools,私は道具の使い方を覚えた,도구를 쓰는 법을 익혔다.
SAY.事件.200.46亿年的梦,,直到一道雷自天空坠下，我发现了火。,直到一道雷自天空坠下，我发现了火。,直到一道雷自天空墜下，我發現了火,Until a lightning bolt fell from the sky{c} I discovered fire,空から雷が落ちてくるまで、私は火を発見した,"그러던 어느 날, 하늘에서 번개가 내리꽂혔다. 나는 불을 발견했다."
SAY.事件.75.46亿年的梦,,我褪去了兽性的狂野，学会了思考与创造。,我褪去了兽性的狂野，学会了思考与创造。,我褪去了獸性的狂野，學會了思考與創造,I shed the wildness of my beastly nature and learned to think and create,私は獣性の狂気を脱ぎ、思考と創造を学んだ,"짐승의 거칠음을 벗어던지고, 생각하고 만드는 법을 배웠다."
SAY.事件.76.46亿年的梦,,用双手雕刻世界，用语言传递梦想。,用双手雕刻世界，用语言传递梦想。,用雙手雕刻世界，用語言傳遞夢想,Carving the world with my hands{c} conveying dreams with words,手で世界を刻み、言葉で夢を伝える,"두 손으로 세계를 빚고, 언어로 꿈을 전한다."
SAY.事件.77.46亿年的梦,,我行走在未知的边缘，追寻那传说中的伊甸园。,我行走在未知的边缘，追寻那传说中的伊甸园。,我行走在未知的邊緣，追尋那傳說中的伊甸園,I walk on the edge of the unknown{c} seeking the legendary Eden,私は未知の境界を歩き、伝説のエデンを追い求める,"나는 미지의 끝자락을 걸으며, 전설 속의 에덴을 좇는다."
SAY.事件.82.46亿年的梦,,一个不只是生存，而是洋溢着安宁与爱的地方。,一个不只是生存，而是洋溢着安宁与爱的地方。,一個不只是生存，而是洋溢著安寧與愛的地方,A place not just for survival{c} but filled with peace and love,単なる生存の場ではなく、安らぎと愛に満ちた場所,"단순히 살아남는 것이 아니라, 고요함과 사랑으로 넘치는 곳."
SAY.事件.88.46亿年的梦,,然而，脚下的路依旧崎岖，战争的火种未曾远离。,然而，脚下的路依旧崎岖，战争的火种未曾远离。,然而，腳下的路依舊崎嶇，戰爭的火種未曾遠離,However{c} the road beneath my feet remains rugged{c} and the sparks of war have not gone far,しかし、足元の道は依然として険しく、戦争の火種は遠くに去っていない,"그러나 발 아래 길은 여전히 험하고, 전쟁의 불씨는 아직 꺼지지 않았다."
SAY.事件.90.46亿年的梦,,我是否能找到那个归宿。,我是否能找到那个归宿。,我是否能找到那個歸宿,Will I ever find that place where I belong?,私はあの帰る場所を見つけられるだろうか,나는 그 안식처를 찾을 수 있을까.
SAY.事件.89.46亿年的梦,,还是注定只能在无尽的进化的梦里，继续漂泊。,还是注定只能在无尽的进化的梦里，继续漂泊。,還是注定只能在無盡的進化的夢裡，繼續漂泊,Or am I destined to continue drifting in an endless dream of evolution?,それとも私は、果てしない進化の夢の中で、漂い続ける運命なのだろうか,"아니면 끝없는 진화의 꿈속에서, 영원히 떠돌 운명인 걸까."
SAY.事件.93.46亿年的梦,,愿这梦，终有一天能醒来。,愿这梦，终有一天能醒来。,願這夢，終有一天能醒來,May this dream one day come to an end.,いつかこの夢が目覚めますように,"바라건대 이 꿈이, 언젠가는 깨어나기를."
SAY.事件.204.,,时间的长河静静流淌，你穿过了一场跨越46亿年的梦。,时间的长河静静流淌，你穿过了一场跨越46亿年的梦。,時間的長河靜靜流淌，你穿過了一場跨越46億年的夢。,Time flows on like a quiet river{c} and you pass through a dream spanning 4.6 billion years.,時間の流れは静かに続き、あなたは46億年にわたる夢をくぐり抜けた,"시간의 강은 고요히 흐르고, 너는 46억 년을 가로지르는 꿈을 지나왔다."
SAY.事件.194.,,声音渐行渐远，在深蓝和墨绿色的流动光影中。,声音渐行渐远，在深蓝和墨绿色的流动光影中。,聲音漸行漸遠，在深藍色和墨綠色的流動光影中,The sound drifts away{c} amidst the flowing shades of deep blue and dark green,音が遠ざかっていく、深い青と墨色の流れる光影の中で,"목소리는 점점 멀어져 간다, 짙은 파랑과 먹빛 초록의 흐르는 빛 속으로."
SAY.事件.205.,,只有时间在静静流淌。,只有时间在静静流淌。,只有時間在靜靜流淌,Only time flows quietly,時間だけが静かに流れる,오직 시간만이 고요히 흐른다.
SAY.事件.337.,,你见证了一段46亿年的梦。,你见证了一段46亿年的梦。,你見證了一段46億年的夢。,You witnessed a dream spanning 4.6 billion years.,あなたは46億年の夢を目撃した。,당신은 46억 년의 꿈을 목격했다.
MENU.事件.195,,离开它的梦,离开它的梦,离开它的梦,Leave its dream,それの夢を去る,그것을 떠나는 꿈
CHARACTER.46亿年的梦,,46亿年的梦,46亿年的梦,46億年的夢,4.6 Billion Year Dream,46億年の夢,46억 년의 꿈
